SL. For reference,Year,Season,Nest Code,Well Code,Depth and Color (to be used in plot and analysis),COLOR assigned (FOUR Color) FINAL 2013,Lat,Lon,Temp,WD,EC,pH,As,Mn,Fe,Ca,Q1,Q2,Q3,Q4,Q5,Q9,GWQI,GWQC
89,2009,0,N6,P1,Intermediate,WHITE,23.39517,90.66776,27.7,102.4390244,260,7,81.3325,0.7027,1.5749,39.1231,65,0,813.3251,702.7015991,524.9718424,19.56155273,652.6,Not Sustainable
91,2010,0,N6,P1,Deep,WHITE,23.39517,90.66776,27.4,224.695122,295,7,80.9438,0.5539,2.1845,48.0626,73.75,0,809.438,553.8836,728.1563333,24.03132,592.84,Not Sustainable
93,2011,0,N6,P1,Shallow - Black,BLACK,23.39517,90.66776,27.7,27.43066138,276,6.95,85.0207,0.6535,1.646,51.1716,69,-10,850.2068,653.4609,548.6726667,25.58579,622.32,Not Sustainable
95,2009,0,N6,P2,Shallow - Black,BLACK,23.39517,90.66776,27.7,18.28710759,970,7.1,739.7974,0.979,7.6926,100.7694,242.5,20,7397.974,978.9501953,2564.216146,50.38467578,1405.63,Not Sustainable
97,2010,0,N6,P2,Intermediate,BLACK,23.39517,90.66776,27.6,105.1829268,715,7,702.1916,0.7291,8.5371,103.569,178.75,0,7021.91599,729.0911,2845.694333,51.7845,1287.7,Not Sustainable
99,2011,0,N6,P2,Shallow - Black,BLACK,23.39517,90.66776,27.7,80.79268293,826,7.21,727.6976,0.6859,6.0669,81.6277,206.5,42,7276.97574,685.9228,2022.292667,40.813825,1055.99,Not Sustainable
101,2009,0,N6,P3,Shallow - Black,BLACK,23.39517,90.66776,27.7,18.28710759,1550,7.2,368.1259,0.1637,3.0379,61.0351,387.5,40,3681.259,163.65625,1012.638889,30.51753125,396.83,Not Sustainable
103,2010,0,N6,P3,Shallow - Black,BLACK,23.39517,90.66776,27.5,13.71533069,1434,7.1,354.6294,0.1384,3.4287,61.4273,358.5,20,3546.294,138.3937,1142.902667,30.71367,409.01,Not Sustainable
105,2009,0,N6,P4,Shallow - Black,BLACK,23.39517,90.66776,28.4,38.09814081,520,6.6,23.1877,0.4742,2.9963,15.3354,130,-80,231.8772,474.1753235,998.7586667,7.667720703,595.53,Not Sustainable
107,2010,0,N6,P4,Shallow - Black,BLACK,23.39517,90.66776,28.5,27.43066138,582,7.1,24.8899,0.1535,2.7644,9.0216,145.5,20,248.8987,153.5295,921.4773333,4.5108245,341.44,Not Sustainable
110,2009,0,N6,P5,Deep,WHITE,23.39517,90.66776,28.8,224.695122,1410,6.6,14.5953,0.1875,2.7716,46.4822,352.5,-80,145.9529,187.4881592,923.8528667,23.24110156,365.35,Not Sustainable
112,2010,0,N6,P5,Shallow - Black,BLACK,23.39517,90.66776,27.5,27.43066138,1166,6.9,11.9015,0.1282,2.8896,43.7395,291.5,-20,119.0145,128.2089,963.199,21.86973,331.72,Not Sustainable
114,2011,0,N6,P5,Shallow - Black,BLACK,23.39517,90.66776,28.4,80.79268293,1371,6.8,5.6,0.1211,2.3368,37.2227,342.75,-40,56,121.0546,778.9403333,18.611325,280.55,Very Poor
